Species,Code,SpeciesCode,Pulp Density (%),Day,pH,pH STDEV,Mg (mg/L),Mg STDEV,Mg/d (mg/L-d),(1/pH)-d,Mg/Pulp Density (mg/L-Pulp Density)
CTL 1%,Ctrl1,Ctrl,1,0,8.11666666666667,0.0493288286231624,10.0406333333333,0.362117830731011
CTL 1%,Ctrl1,Ctrl,1,1,8.31333333333333,0.00577350269189614,21.8529666666667,0.32758518485019,21.8529666666667,0.120288692862871,21.8529666666667
CTL 1%,Ctrl1,Ctrl,1,2,8.29666666666667,0.0208166599946619,21.4514666666667,0.952361351238767,10.7257333333333,0.241060666934512,21.4514666666667
CTL 1%,Ctrl1,Ctrl,1,3,8.19333333333333,0.064291005073287,24.4636666666667,0.584981558113872,8.15455555555556,0.366151342554923,24.4636666666667
CTL 1%,Ctrl1,Ctrl,1,4,8.34666666666667,0.0230940107675845,22.4625666666667,0.904293427673414,5.61564166666667,0.479233226837061,22.4625666666667
CTL 1%,Ctrl1,Ctrl,1,5,8.23333333333333,0.0351188458428426,21.9211333333333,0.292791125776267,4.38422666666667,0.607287449392713,21.9211333333333
CTL 2%,Ctrl2,Ctrl,2,0,8.31,0,12.9199333333333,0.204964834382226
CTL 2%,Ctrl2,Ctrl,2,1,8.59,0.0608276253029825,20.4215333333333,0.294580928325875,20.4215333333333,0.116414435389988,10.2107666666667
CTL 2%,Ctrl2,Ctrl,2,2,8.61333333333333,0.0404145188432737,22.9233,0.65762185942987,11.46165,0.232198142414861,11.46165
CTL 2%,Ctrl2,Ctrl,2,3,8.42666666666667,0.0251661147842353,25.3014666666667,0.723249226292939,8.43382222222222,0.356012658227848,12.6507333333333
CTL 2%,Ctrl2,Ctrl,2,4,8.30666666666667,0.00577350269189614,26.7778333333333,1.32498335964394,6.69445833333333,0.481540930979133,13.3889166666667
CTL 2%,Ctrl2,Ctrl,2,5,8.44,0.0435889894354068,26.5845666666667,0.712254633774562,5.31691333333333,0.592417061611374,13.2922833333333
CTL 3%,Ctrl3,Ctrl,3,0,8.40333333333333,0.0251661147842353,13.3171333333333,0.680744771065731
CTL 3%,Ctrl3,Ctrl,3,1,8.75333333333333,0.037859388972001,23.9463333333333,0.456411177923301,23.9463333333333,0.114242193450114,7.98211111111111
CTL 3%,Ctrl3,Ctrl,3,2,8.67333333333333,0.0230940107675845,28.4446333333333,0.327231727271874,14.2223166666667,0.230591852421214,9.48154444444444
CTL 3%,Ctrl3,Ctrl,3,3,8.58666666666667,0.0251661147842353,37.1905666666667,1.57541943727165,12.3968555555556,0.349378881987578,12.3968555555556
CTL 3%,Ctrl3,Ctrl,3,4,8.6,0.00999999999999979,59.0410666666667,0.754799710740103,14.7602666666667,0.465116279069767,19.6803555555556
CTL 3%,Ctrl3,Ctrl,3,5,8.54666666666667,0.0115470053837933,56.1391666666667,0.749049399795054,11.2278333333333,0.585023400936037,18.7130555555556
GO 1%,Gox1,Gox,1,0,4.47666666666667,0.0264575131106458,19.6015,1.09905503046936
GO 1%,Gox1,Gox,1,1,2.56333333333333,0.0251661147842358,346.330166666667,2.26177235886666,346.330166666667,0.390117035110533,346.330166666667
GO 1%,Gox1,Gox,1,2,2.22666666666667,0.0838649708360606,601.7376,10.8874636150942,300.8688,0.898203592814371,601.7376
GO 1%,Gox1,Gox,1,3,2.15333333333333,0.0888819441731558,767.179166666667,35.6897972676132,255.726388888889,1.39318885448916,767.179166666667
